,title,year,director
621,"Cousin, cousine",1975,Jean-Charles Tacchella
622,Big Deal on Madonna Street,1958,Mario Monicelli
623,The Crazies,1973,George A. Romero
624,The Mayor of Hell,1933,Archie Mayo
625,Nine Queens,2000,Fabián Bielinsky
626,D.O.A.,1950,Rudolph Maté
627,Dark Mirror,1946,Robert Siodmak
628,Dark Victory,1939,Edmund Goulding
629,Dark Water,2002,Hideo Nakata
630,Dawn of the Dead,1978,George A. Romero
631,The Dawn Patrol,1930,Howard Hawks
632,Day of the Dead,1985,George A. Romero
633,The Day the Earth Stood Still,1951,Robert Wise
634,My Name Is Julia Ross,1945,Joseph H. Lewis
635,Death at a Funeral,2007,Frank Oz
636,Death Race 2000,1975,Paul Bartel
637,The Debt,2007,Assaf Bernstein
638,The Defiant Ones,1958,Stanley Kramer
