,title,year,director
639,Infernal Affairs,2002,Wai Keung Lau & Siu Fai Mak
640,Die schönen Tage von Aranjuez,1933,Johannes Meyer
641,The Desperate Hours,1955,William Wyler
642,Le Deuxième Souffle,1966,Jean-Pierre Melville
643,Diabolique,1955,Henri-Georges Clouzot
644,The Barker,1928,George Fitzmaurice
645,The Dinner Game,1998,Francis Veber
646,Bedtime Story,1964,Ralph Levy
647,Rear Window,1954,Alfred Hitchcock
648,Dr. Jekyll and Mr. Hyde,1931,Rouben Mamoulian
649,Dr. Mabuse the Gambler,1922,Fritz Lang
650,Don,1978,Chandra Barot
651,A Dog of Flanders,1959,James B. Clark
652,Don't Be Afraid of the Dark,1973,John Newland
653,The Lift,1983,Dick Maas
654,Boudu Saved from Drowning,1932,Jean Renoir
655,Here Comes Mr. Jordan,1941,Alexander Hall
656,Der träumende Mund,1932,Paul Czinner
657,The Echo,2004,Yam Laranas
658,King of the Airways,1994,Michel Poulette
659,Groundhog Day,1993,Harold Ramis
660,Chinthamani Kolacase,2006,Shaji Kailas
661,Endless Love,1981,Franco Zeffirelli
662,Masquerade in Vienna,1934,Willi Forst
663,The Evil Dead,1981,Sam Raimi
664,The Eye,2002,Oxide Pang & Danny Pang
665,Exorcist: The Beginning,2004,Renny Harlin
666,A Trip to the Moon,1902,Georges Méliès
667,The Experiment,2001,Oliver Hirschbiegel
668,Fame,1980,Alan Parker
669,Diversion,1980,James Dearden
670,Father of the Bride,1950,Vincente Minnelli
671,The ComDads,1983,Francis Veber
672,FC Venus,2005,Joona Tena
673,Kiss of Death,1947,Henry Hathaway
674,The Firm,1988,Alan Clarke
675,Yojimbo,1961,Akira Kurosawa
676,Five Came Back,1939,John Farrow
677,The Defiant Ones,1958,Stanley Kramer
678,The Flight of the Phoenix,1965,Robert Aldrich
679,Flipper,1963,James B. Clark
680,A Story of Floating Weeds,1934,Yasujirō Ozu
681,The Absent-Minded Professor,1961,Robert Stevenson
682,The Fly,1958,Kurt Neumann
683,The Fog,1980,John Carpenter
684,Footloose,1984,Herbert Ross
685,The Golden Chance,1915,Cecil B. DeMille
686,The Sons of Katie Elder,1965,Henry Hathaway
687,Freaky Friday,1976,Gary Nelson
688,Friday the 13th,1980,Sean S. Cunningham
689,Fright Night,1985,Tom Holland
690,The Front Page,1931,Lewis Milestone
691,Fun with Dick and Jane,1977,Ted Kotcheff
692,Funny Games,1997,Michael Haneke
693,Waterloo Bridge,1931,James Whale
694,Gambit,1966,Ronald Neame
695,The Gambler,1974,Karel Reisz
696,The Getaway,1972,Sam Peckinpah
697,Get Carter,1971,Mike Hodges
698,Catherine the Last,1936,Henry Koster
699,Kaakha Kaakha,2003,Gautham Menon
700,Don't Look Up,1996,Hideo Nakata
701,Gloria,1980,John Cassavetes
702,Godzilla,1954,Ishirō Honda
703,Gone in 60 Seconds,1974,H. B. Halicki
704,The Goodbye Girl,1977,Herbert Ross
705,The Good Companions,1933,Victor Saville
706,"I Was Born, But...",1932,Yasujirō Ozu
707,Bob le flambeur,1956,Jean-Pierre Melville
708,Flaming Guns,1932,Arthur Rosson
709,Ju-on: The Grudge,2003,Takashi Shimizu
710,Guess Who's Coming to Dinner,1967,Stanley Kramer
711,Halloween,1978,John Carpenter
712,The Beast with Five Fingers,1946,Robert Florey
713,Happy New Year,1973,Claude Lelouch
714,Harakiri,1962,Masaki Kobayashi
715,The Hasty Heart,1949,Vincent Sherman
716,The Phantom City,1928,Albert S. Rogell
717,The Haunting,1963,Robert Wise
718,Head Above Water,1993,Nils Gaup
719,The Heartbreak Kid,1972,Elaine May
720,L.A. Takedown,1989,Michael Mann
721,Her Majesty Love,1931,Joe May
722,High Noon,1952,Fred Zinnemann
723,The Hills Have Eyes,1977,Wes Craven
724,The Hitcher,1986,Robert Harmon
725,Holiday,1930,Edward H. Griffith
726,The Incredible Journey,1963,Fletcher Markle
727,Hoodman Blind,1913,James Gordon
728,House on Haunted Hill,1959,William Castle
729,Mystery of the Wax Museum,1933,Michael Curtiz
730,How to Make a Monster,1958,Herbert L. Strock
731,The Hurricane,1937,John Ford
732,The Last Man on Earth,1964,Sidney Salkow
733,High Sierra,1941,Raoul Walsh
734,I Married a Monster from Outer Space,1958,Gene Fowler Jr.
735,I Saw What You Did,1965,William Castle
736,I Spit on Your Grave,1978,Meir Zarchi
737,I Want to Live!,1958,Robert Wise
738,Ice Castles,1978,Donald Wrye
739,The Shop Around the Corner,1940,Ernst Lubitsch
740,Indiscretion of an American Wife,1953,Vittorio De Sica
741,The Initiation of Sarah,1978,Robert Day
742,The In-Laws,1979,Arthur Hiller
743,Insomnia,1997,Erik Skjoldbjærg
744,The Things of Life,1970,Claude Sautet
745,Intermezzo,1936,Gösta Stevens
746,Interview,2003,Theo van Gogh
747,Invaders from Mars,1953,William Cameron Menzies
748,Invasion of the Body Snatchers,1956,Don Siegel
749,Irma la Douce,1963,Billy Wilder
750,Rashomon,1950,Akira Kurosawa
751,The Italian Job,1969,Peter Collinson
752,It's a Wonderful Life,1946,Frank Capra
753,It's Alive,1974,Larry Cohen
754,The Last Man on Earth,1924,John G. Blystone
755,J'accuse,1919,Abel Gance
756,The Day of the Jackal,1973,Fred Zinnemann
757,Jacob the Liar,1974,Frank Beyer
758,The Jazz Singer,1927,Alan Crosland
759,Jigoku,1960,Nobuo Nakagawa
760,Journey into Fear,1943,Norman Foster
761,Little Indian Big City,1994,Hervé Palud
762,Les Visiteurs,1993,Jean-Marie Poiré
763,Tidal Wave,1973,Shirô Moritani
764,The Karate Kid,1984,John G. Avildsen
765,The Milky Way,1936,Leo McCarey
766,King Kong,1933,Merian C. Cooper
767,King Solomon's Mines,1937,Robert Stevenson
768,A Kiss Before Dying,1956,Gerd Oswald
769,Dona Flor and Her Two Husbands,1976,Bruno Barreto
770,Kiss of Death,1947,Henry Hathaway
771,Death Game,1977,Peter S. Traynor
772,Séance on a Wet Afternoon,1964,Bryan Forbes
773,The Ladykillers,1955,Alexander Mackendrick
774,The Lady Vanishes,1938,Alfred Hitchcock
775,The Land That Time Forgot,1974,Kevin Connor
776,Il Mare,2000,Lee Hyun-seung
777,Last Holiday,1950,Henry Cass
778,The Virgin Spring,1960,Ingmar Bergman
779,The Last Kiss,2001,Gabriele Muccino
780,Yojimbo,1961,Akira Kurosawa
781,Angora Love,1929,Lewis R. Foster
782,Let The Right One In,2008,Tomas Alfredson
783,Libeled Lady,1936,Jack Conway
784,Lifeboat,1944,Alfred Hitchcock
785,Little Fugitive,1953,Ray Ashley
786,Little Miss Marker,1934,Alexander Hall
787,Little Shop of Horrors,1960,Roger Corman
788,LOL (Laughing Out Loud),2008,Lisa Azuelos
789,The Longest Yard,1974,Robert Aldrich
790,His Royal Slyness,1920,Hal Roach
791,"The Long, Hot Summer",1958,Martin Ritt
792,Le Jour se lève,1939,Marcel Carné
793,Lost Horizon,1937,Frank Capra
794,Lost Patrol,1929,Walter Summers
795,Love Affair,1939,Leo McCarey
796,"Can’t Buy Me Love",1987,Steve Rash
797,Swamp Water,1941,Jean Renior
798,M ,1931,Fritz Lang
799,Mädchen in Uniform,1931,Leontine Sagan
800,The Hands of Orlac,1924,Robert Wiene
801,The Magnificent Ambersons,1942,Orson Welles
802,Seven Samurai,1954,Akira Kurosawa
803,I Am Sam,2001,Jessie Nelson
804,The Private War of Major Benson,1955,Jerry Hopper
805,The Walking Dead,1936,Michael Curtiz
806, The Tall Blond Man with One Black Shoe,1972,Yves Robert
807,The Man Without a Country,1917,Ernest C. Warde
808,The Man Who Knew Too Much,1934,Alfred Hitchcock
809,The Man Who Loved Women,1977,François Truffaut
810,The Manchurian Candidate,1962,John Frankenheimer
811,Manichithrathazhu,1993,Fazil
812,The Miracle of Marcelino,1955,Ladislao Vajda
813,Life Is a Dog,1933,Martin Frič
814,Marilyn Hotchkiss' Ballroom Dancing and Charm School,1990,Randall Miller
815,London After Midnight,1927,Tod Browning
816,The Three Godfathers,1916,Edward LeSaint
817,Martyrs,2008,Pascal Laugier
818,Midnight,1939,Mitchell Leisen
819,The Mechanic,1972,Michael Winner
820,Death Takes a Holiday,1934,Mitchell Leisen
821,Meet Me in St. Louis,1944,Vincente Minnelli
822,La vie continue,1981,Moshé Mizrahi
823,Bicycle Thieves,1948,Vittorio De Sica
824,Mighty Joe Young,1949,Ernest B. Schoedsack
825,Miracle on 34th Street,1947,George Seaton
826,The Miracle Man,1919,George Loane Tucker
827,Le miroir à deux faces,1958,André Cayatte
828,Into the Mirror,2003,Sung-ho Kim
829,Miss Granny,2014,Hwang Dong-hyuk
830,Cat-Women of the Moon,1953,Arthur Hilton
831,Le Père Noël est une ordure,1982,Jean-Marie Poiré
832,Red Dust,1932,Victor Fleming
833,Mr. Blandings Builds His Dream House,1948,H. C. Potter
834,Haunters,2010,Kim Min-seok
835,The Magnificent Fraud,1939,Robert Florey
836,Mother's Day,1980,Charles Kaufman
837,My Favorite Wife,1940,Garson Kanin
838,Mr. Deeds Goes to Town,1936,Frank Capra
839,The Mummy,1932,Karl Freund
840,Munna Bhai M.B.B.S.,2003,Rajkumar Hirani
841,My Bloody Valentine,1981,George Mihalka
842,"Mon père, ce héros",1991,Gérard Lauzier
843,My Man Godfrey,1936,Gregory La Cava
844,My Sassy Girl,2001,Jae-young Kwak
845,Autograph,2004,Cheran
846,The Eye,2002,Oxide Pang
847,The Narrow Margin,1952,Richard Fleischer
848,Anything for Her,2008,Fred Cavayé
849,Night and the City,1950,Jules Dassin
850,Night Must Fall,1937,Richard Thorpe
851,A Nightmare on Elm Street,1984,Wes Craven
852,Night of the Demons,1988,Kevin S. Tenney
853,Night of the Living Dead,1968,George A. Romero
854,Nightwatch,1994,Ole Bornedal
855,Neuf mois,1994,Patrick Braoudé
856,Mostly Martha,2001,Sandra Nettelbeck
857,Nosferatu,1922,F.W. Murnau
858,The Big Clock,1948,John Farrow
859,Not of This Earth,1957,Roger Corman
860,Notorious,1946,Alfred Hitchcock
861,Naadodigal,2009,Samuthirakani
862,Nine Queens,2000,Fabián Bielinsky
863,The Nutty Professor,1963,Jerry Lewis
864,Ocean's 11,1960,Lewis Milestone
865,It Started with Eve,1941,Henry Koster
866,The Old Dark House,1932,James Whale
867,Oldboy,2003,Park Chan-wook
868,The Last Man on Earth,1964,Sidney Salkow
869,The Omen,1976,Richard Donner
870,On the Beach,1959,Stanley Kramer
871,One Million B.C.,1940,Hal Roach
872,One Missed Call,2003,Takashi Miike
873,The Women,1939,George Cukor
874,Black Orpheus,1959,Marcel Camus
875,The Two Orphans,1915,Herbert Brenon
876,Oscar,1967,Édouard Molinaro
877,The Out-of-Towners,1970,Arthur Hiller
878,High Noon,1952,Fred Zinnemann
879,Rashomon,1950,Akira Kurosawa
880,Outside the Law,1920,Tod Browning
881,A Yank at Oxford,1938,Jack Conway
882,Gold Diggers of 1933,1933,Mervyn LeRoy
883,The Grand Highway,1987,Jean-Loup Hubert
884,The Parent Trap,1961,David Swift
885,Holiday for Henrietta,1952,Julien Duvivier
886,Pathfinder,1987,Nils Gaup
887,Shanghai Express,1932,Josef von Sternberg
888,Dial M for Murder,1954,Alfred Hitchcock
889,The Phantom Carriage,1921,Victor Sjöström
890,Picnic,1955,Joshua Logan
891,Piranha,1978,Joe Dante
892,The Plainsman,1936,Cecil B. DeMille
893,Planet of the Apes,1968,Franklin J. Schaffner
894,The Plank,1967,Eric Sykes
895,Lady for a Day,1933,Frank Capra
896,Point Break,1991,Kathryn Bigelow
897,La Femme Nikita,1990,Luc Besson
898,Poltergeist,1982,Tobe Hooper
899,Pokiri,2006,Puri Jagannadh
900,The Poseidon Adventure,1972,Ronald Neame
901,The Bishop's Wife,1947,Henry Koster
902,Premonition,2004,Norio Tsuruta
903,The Prisoner of Zenda,1937,John Cromwell
904,The Producers,1967,Mel Brooks
905,Prom Night,1980,Paul Lynch
906,Psycho,1960,Alfred Hitchcock
907,Pulse,2001,Kiyoshi Kurosawa
908,La Chèvre,1981,Francis Veber
909,Pusher,1996,Nicolas Winding Refn
910,REC,2007,Jaume Balagueró and Paco Plaza
911,The Racket,1928,Lewis Milestone
912,The Rainmaker,1956,Joseph Anthony
913,The Rains Came,1939,Clarence Brown
914,Sholay,1975,Ramesh Sippy
915,Ransom!,1956,Alex Segal
916,Rear Window,1954,Alfred Hitchcock
917,Red Dawn,1984,John Milius
918,Range Feud,1931,D. Ross Lederman
919,Reefer Madness,1936,Louis J. Gasnier
920,Force Majeure,1989,Pierre Jolievt
921,Yongary Monster from the Deep,1967,Kim Ki-duk
922,Old Acquaintance,1943,Vincent Sherman
923,The Unknown Cavalier,1926,Albert S. Rogell
924,Broadway Bill,1934,Frank Capra
925,Ringu,1998,Hideo Nakata
926,Rio Bravo,1959,Howard Hawks
927,Rio Rita,1929,Luther Reed
928,Robin Hood,1912,Étienne Arnaud and Herbert Blaché
929,RoboCop,1987,Paul Verhoeven
930,The Miracle of Morgan's Creek,1944,Preston Sturges
931,Rollerball,1975,Norman Jewison
932,The Roman Spring of Mrs. Stone,1961,José Quintero
933,Runaway Daughters,1956,Edward L. Cahn
934,One Hundred Men and a Girl,1937,Henry Koster
935,Sabrina,1954,Billy Wilder
936,Sahara,1943,Zoltan Korda
937,Satan's School for Girls,1973,David Rich
938,The Ghost Breakers,1940,George Marshall
939,Scarface,1932,Howard Hawks
940,Scent of a Woman,1974,Dino Risi
941,School for Scoundrels,1960,Robert Hamer
942,Himitsu,1999,Yojiro Takita
943,The Secret in their Eyes,2009,Juan J. Campanella
944,The Secret Life of Walter Mitty,1947,Norman Z. McLeod
945,Geheimnis des blauen Zimmers,1932,Erich Engels
946,Sengoku jieitai,1979,Kôsei Saitô
947,Senso,1954,Luchino Visconti
948,7th Heaven,1927,Frank Borzage
949,Shadow of a Doubt,1943,Alfred Hitchcock
950,The Shaggy Dog,1959,Charles Barton
951,"Shake, Rattle & Rock!",1956,Edward L. Cahn
952,The Paleface,1948,Norman Z. McLeod
953,Shall We Dance?,1996,Masayuki Suo
954,Munna Bhai M.B.B.S.,2003,Rajkumar Hirani
955,Lage Raho Munna Bhai,2006,Rajkumar Hirani
956,Shiva,1989,Ram Gopal Varma
957,Shutter,2004,Banjong Pisanthanakun
958,Sideways,2004,Alexander Payne
959,Ninotchka,1939,Ernst Lubitsch
960,Blood Simple,1984,Joel Coen
961,Singam,2010,Hari
962,Sisters,1972,Brian De Palma
963,Penthouse,1933,W.S. Van Dyke
964,Solyaris,1968,B.Nirenburg
965,Midsummer,2003,Carsten Myllerup
966,My Favorite Wife,1940,Garson Kanin
967,Somewhere in Sonora,1927,Albert S. Rogell
968,The Wages of Fear,1953,Henri-Georges Clouzot
969,The House on Sorority Row,1983,Mark Rosman
970,Sorrell and Son,1927,Herbert Brenon
971,Little Miss Marker,1934,Alexander Hall
972,Sparkle,1976,Sam O'Steen
973,Frühjahrsparade,1934,Géza von Bolváry
974,Spring in a Small Town,1948,Fei Mu
975,The Squaw Man,1914,Cecil B. DeMille
976,Stagecoach,1939,John Ford
977,A Star Is Born,1937,William A. Wellman
978,State Fair,1933,Henry King
979,The Stepfather,1987,Joseph Ruben
980,The Stepford Wives,1975,Bryan Forbes
981,Dark Victory,1939,Edmund Goulding
982,Straw Dogs,1971,Sam Peckinpah
983,The Sunshine Boys,1975,Herbert Ross
984,Suspicion,1941,Alfred Hitchcock
985,The Swan,1925,Dimitri Buchowetzki
986,Miss Granny,2014,Hwang Dong-hyuk
987,Sweet November,1968,Robert Ellis Miller
988,Swept Away,1974,Lina Wertmüller
989,The Front Page,1931,Lewis Milestone
990,Ramana,2002,A.R. Murugadoss
991,Taking of Pelham One Two Three,1974,Joseph Sargent
992,Tarzan the Ape Man,1932,W.S. Van Dyke
993,Taxi,1996,Gérard Pirès
994,The Ten Commandments,1923,Cecil B. Demille
995,The Texas Chain Saw Massacre,1974,Tobe Hooper
996,That Darn Cat!,1965,Robert Stevenson
997,The Life of Jimmy Dolan,1933,Archie Mayo
998,Thief of Bagdad,1924,Raoul Walsh
999,Nippon tanjô,1959,Hiroshi Inagaki
1000,The Thing from Another World,1951,Christian Nyby
1001,World on a Wire,1973,Rainer Werner Fassbinder
1002,13 Ghosts,1960,William Castle
1003,The Thomas Crown Affair,1968,Norman Jewison
1004,The Fugitives,1986,Francis Veber
1005,3 hommes et un couffin,1985,Coline Serreau
1006,The Time Machine,1960,George Pal
1007,To Be Or Not To Be,1942,Ernst Lubitsch
1008,To Have and to Hold,1916,George Melford
1009,Tol'able David,1921,Henry King
1010,Leave Her to Heaven,1945,John M. Stahl
1011,The Toolbox Murders,1978,Dennis Donnelly
1012,Eat Drink Man Woman,1994,Ang Lee
1013,Total Recall,1990,Paul Verhoeven
1014,Anthony Zimmer,2005,Jérôme Salle
1015,Tower of London,1939,Rowland V. Lee
1016,The Town That Dreaded Sundown,1976,Charles B. Pierce
1017,The Toy,1976,Francis Veber
1018,Trader Horn,1931,W.S. Van Dyke
1019,La Totale!,1991,Claude Zidi
1020,Charade,1963,Stanley Donen
1021,The Twin,1984,Yves Robert
1022,The Unfaithful Wife,1969,Claude Chabrol
1023,Unfaithfully Yours,1948,Preston Sturges
1024,Garde à vue,1981,Claude Miller
1025,Criss Cross,1949,Robert Siodmak
1026,The Unholy Three,1925,Tod Browning
1027,The Unknown Soldier,1955,Edvin Laine
1028,Van Gogh,1947,Alain Resnais
1029,Open Your Eyes,1997,Alejandro Amenábar
1030,The Vanishing,1988,George Sluizer
1031,Vanishing Point,1971,Richard C. Sarafian
1032,Blaavand melder storm,1938,"Lau Lauritzen, Jr."
1033,I Wake Up Screaming,1941,H. Bruce Humberstone
1034,Viktor and Viktoria,1933,Reinhold Schunzel
1035,Village of the Damned,1960,Wolf Rilla
1036,The More the Merrier,1943,George Stevens
1037,The Virtuous Bigamist,1956,Mario Soldati
1038,Walking Tall,1973,Phil Karlson
1039,Waterloo Bridge,1931,James Whale
1040,The War of the Worlds,1953,Byron Haskin
1041,The Way of All Flesh,1927,Victor Fleming
1042,Castle of Blood,1964,Antonio Margheriti
1043,Stepmom,1998,Chris Columbus
1044,Big Deal on Madonna Street,1958,Mario Monicelli
1045,We're No Angels,1955,Michael Curtiz
1046,The Reluctant Debutante,1958,Vincente Minnelli
1047,What Ever Happened to Baby Jane?,1962,Robert Aldrich
1048,What Women Want,2000,Nancy Meyers
1049,When a Stranger Calls,1979,Fred Walton
1050,Where the Boys Are,1960,Henry Levin
1051,The Wicked Lady,1945,Leslie Arliss
1052,The Wicker Man,1973,Robin Hardy
1053,The Apartment,1996,Gilles Mimouni
1054,Willard,1971,Daniel Mann
1055,Blind,2011,Ahn Sang-hoon
1056,The Wizard of Gore,1970,Herschell Gordon Lewis
1057,The Wolf Man,1941,George Waggner
1058,Pardon Mon Affaire,1976,Yves Robert
1059,The Women,1939,George Cukor
1060,Gigot,1962,Gene Kelly
1061,The Yellow Handkerchief,1977,Yoji Yamada
1062,Jogi,2005,Prem
1063,"Yours, Mine and Ours",1968,Melville Shavelson
1064,The Major and the Minor,1942,Billy Wilder
1065,The Shop Around the Corner,1940,Ernst Lubitsch
