,Title,Year,tomatoMeter,tomatoRating,tomatoReviews,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,imdbRating,imdbVotes,imdbID,Awards,Genre,Language,Country,Director,Rated,Runtime,Actors,Writer,Award_count,Noms_count,Noms+Awards,PrimaryLanguage,PrimaryCountry,PrimaryLangFixed,Crime,Drama,Thriller,Action,Adventure,Film_Noir,Mystery,Comedy,Family,Horror,Sci_Fi,Romance,Music,Fantasy,Western,War,Sport,History,Biography
26,Arch of Triumph,1984,,,,21.0,2.7,84.0,5.5,401.0,tt0088734,N/A,"Drama, Romance, War",English,UK,Waris Hussein,N/A,93.0,"Anthony Hopkins, Lesley-Anne Down, Donald Pleasence, Frank Finlay","Erich Maria Remarque (based on the novel by), Charles E. Israel (teleplay)",0,0,0,English,UK,English,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
27,The Arena,2001,,,,,,54.0,2.7,543.0,tt0284867,1 nomination.,"Adventure, Drama, Action",English,"Russia, USA",Timur Bekmambetov,R,92.0,"Karen McDougal, Lisa Dergan, Olga Sutulova, Yuliya Chicherina",John William Corrington,0,1,1,English,Russia,English,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Arthur,2011,26.0,4.4,188.0,44.0,3.1,45449.0,5.7,46098.0,tt1334512,3 wins & 5 nominations.,"Comedy, Romance",English,USA,Jason Winer,PG-13,110.0,"Russell Brand, Helen Mirren, Greta Gerwig, Jennifer Garner","Peter Baynham (screenplay), Steve Gordon (story)",3,5,8,English,USA,English,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
29,Assault on Precinct 13,2005,60.0,5.9,163.0,48.0,3.1,94356.0,6.3,66619.0,tt0398712,1 win & 2 nominations.,"Action, Crime, Drama","English, Serbian","USA, France",Jean-François Richet,R,109.0,"Ethan Hawke, Laurence Fishburne, Gabriel Byrne, Maria Bello","John Carpenter (earlier film), James DeMonaco (screenplay)",1,2,3,English,USA,English,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Attack of the 50 Ft. Woman,1993,22.0,3.6,9.0,21.0,2.3,8573.0,3.8,2386.0,tt0106317,1 nomination.,"Comedy, Sci-Fi",English,USA,Christopher Guest,R,90.0,"Daryl Hannah, Daniel Baldwin, William Windom, Frances Fisher","Mark Hanna (earlier screenplay), Joseph Dougherty (teleplay)",0,1,1,English,USA,English,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
31,The Bachelor,1999,9.0,3.5,66.0,28.0,2.5,35386.0,5.0,14881.0,tt0120596,1 win & 1 nomination.,Comedy,"English, Spanish",USA,Gary Sinyor,PG-13,101.0,"Chris O'Donnell, Renée Zellweger, Artie Lange, Edward Asner","Roi Cooper Megrue (play), Jean C. Havez, Clyde Bruckman, Joseph A. Mitchell, Steve Cohen (screenplay)",1,1,2,English,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,Bachelor Mother,1939,,,,88.0,4.0,1128.0,7.7,2742.0,tt0031067,N/A,"Comedy, Romance",English,USA,Garson Kanin,APPROVED,82.0,"Ginger Rogers, David Niven, Charles Coburn, Frank Albertson","Norman Krasna (screen play), Felix Jackson (story)",0,0,0,English,USA,English,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
33,Bad News Bears,2005,,,,,,49.0,5.8,17731.0,tt0408524,1 win & 4 nominations.,"Comedy, Sport","English, Spanish",USA,Richard Linklater,PG-13,113.0,"Billy Bob Thornton, Greg Kinnear, Marcia Gay Harden, Sammi Kane Kraft","Bill Lancaster (screenplay), Glenn Ficarra (screenplay), John Requa (screenplay), Bill Lancaster",1,4,5,English,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
34,The Ballad of Narayama,1983,100.0,8.4,11.0,87.0,4.2,1990.0,7.9,5071.0,tt0084390,9 wins & 8 nominations.,Drama,Japanese,Japan,Shôhei Imamura,NOT RATED,130.0,"Ken Ogata, Sumiko Sakamoto, Tonpei Hidari, Aki Takejô","Shôhei Imamura (screenplay), Shichirô Fukazawa (novel)",9,8,17,Japanese,Japan,Japanese,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,The Bad Seed,1985,,,,,,,5.5,305.0,tt0088766,Nominated for 1 Primetime Emmy. Another 1 nomination.,"Drama, Horror, Mystery",English,USA,Paul Wendkos,UNRATED,100.0,"Blair Brown, Lynn Redgrave, David Carradine, Carrie Wells","Maxwell Anderson (based upon the play by), William March (based on the novel by), George Eckstein (teleplay)",0,2,2,English,USA,English,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
