,Title_orig,Year_orig,imdbRating_orig,imdbVotes_orig,Runtime_orig,Award_count_orig,Noms_count_orig,Noms+Awards_orig,PrimaryCountry_orig,PrimaryLangFixed_orig,Crime_orig,Drama_orig,Thriller_orig,Action_orig,Adventure_orig,Film_Noir_orig,Mystery_orig,Comedy_orig,Family_orig,Horror_orig,Sci_Fi_orig,Romance_orig,Music_orig,Fantasy_orig,Western_orig,War_orig,Sport_orig,History_orig,Biography_orig,Title_remake,Year_remake,imdbRating_remake,imdbVotes_remake,Runtime_remake,Award_count_remake,Noms_count_remake,Noms+Awards_remake,PrimaryCountry_remake,PrimaryLangFixed_remake,Crime_remake,Drama_remake,Thriller_remake,Action_remake,Adventure_remake,Film_Noir_remake,Mystery_remake,Comedy_remake,Family_remake,Horror_remake,Sci_Fi_remake,Romance_remake,Music_remake,Fantasy_remake,Western_remake,War_remake,Sport_remake,History_remake,Biography_remake,SameLang,SameCountry,YearDiff
39,Fingers,1978,7.0,1811.0,90.0,0,0,0,USA,English,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,The Beat That My Heart Skipped,2005,7.3,15943.0,108.0,21,12,33,France,French,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
40,Beau Geste,1926,7.1,229.0,101.0,1,0,1,USA,English,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beau Geste,1939,7.9,4335.0,112.0,0,0,0,USA,English,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13
41,Bedazzled,1967,7.0,6800.0,103.0,0,0,0,UK,English,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,Bedazzled,2000,6.0,83419.0,93.0,1,3,4,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,33
42,Deaf Sam-ryong,1929,,,,0,0,0,Korea,Korean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Deaf Sam-ryong,1964,7.2,17.0,85.0,1,0,1,South Korea,Korean,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35
43,Beyond a Reasonable Doubt,1956,7.0,3094.0,80.0,0,0,0,USA,English,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Beyond a Reasonable Doubt,2009,5.9,10653.0,106.0,0,0,0,USA,English,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,53
44,House of Strangers,1949,7.4,1885.0,101.0,1,1,2,USA,English,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,The Big Show,1961,5.6,105.0,113.0,0,0,0,USA,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12
45,The Land Beyond the Law,1927,,,70.0,0,0,0,USA,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,The Big Stampede,1932,5.8,337.0,54.0,0,0,0,USA,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5
46,Mr. Smith Goes to Washington,1939,8.2,78918.0,129.0,5,11,16,USA,English,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Billy Jack Goes to Washington,1977,4.5,482.0,155.0,0,0,0,USA,English,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,38
47,La Cage aux Folles,1978,7.3,7735.0,110.0,5,5,10,France,French,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,The Birdcage,1996,7.0,63832.0,117.0,6,22,28,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18
48,Little Caesar,1931,7.3,8980.0,79.0,1,1,2,USA,English,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Black Caesar,1973,6.4,2253.0,87.0,0,0,0,USA,English,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,42
49,Black Christmas,1974,7.2,22619.0,98.0,2,2,4,Canada,English,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Black Christmas,2006,4.5,20229.0,84.0,0,1,1,USA,English,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,32
50,In a Wild Moment,1977,6.3,318.0,81.0,0,0,0,France,French,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Blame It on Rio,1984,5.7,8149.0,100.0,0,1,1,USA,English,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7
51,The Blob,1958,6.4,17006.0,86.0,0,1,1,USA,English,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,The Blob,1988,6.4,23564.0,95.0,0,6,6,USA,English,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,30
52,Blood Feast,1963,5.0,4299.0,67.0,0,0,0,USA,English,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Blood Diner,1987,5.1,2768.0,88.0,0,0,0,USA,English,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,24
