,Title_orig,Year_orig,imdbRating_orig,imdbVotes_orig,Runtime_orig,Award_count_orig,Noms_count_orig,Noms+Awards_orig,PrimaryCountry_orig,PrimaryLangFixed_orig,Crime_orig,Drama_orig,Thriller_orig,Action_orig,Adventure_orig,Film_Noir_orig,Mystery_orig,Comedy_orig,Family_orig,Horror_orig,Sci_Fi_orig,Romance_orig,Music_orig,Fantasy_orig,Western_orig,War_orig,Sport_orig,History_orig,Biography_orig,Title_remake,Year_remake,imdbRating_remake,imdbVotes_remake,Runtime_remake,Award_count_remake,Noms_count_remake,Noms+Awards_remake,PrimaryCountry_remake,PrimaryLangFixed_remake,Crime_remake,Drama_remake,Thriller_remake,Action_remake,Adventure_remake,Film_Noir_remake,Mystery_remake,Comedy_remake,Family_remake,Horror_remake,Sci_Fi_remake,Romance_remake,Music_remake,Fantasy_remake,Western_remake,War_remake,Sport_remake,History_remake,Biography_remake,SameLang,SameCountry,YearDiff
74,The Champ,1931,7.3,2032.0,86.0,2,3,5,USA,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,The Champ,1979,6.8,6302.0,121.0,2,7,9,USA,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,48
75,Love 'Em and Weep,1927,6.6,373.0,20.0,0,0,0,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Chickens Come Home-,1931,7.5,988.0,30.0,0,0,0,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4
76,These Three,1936,7.7,1622.0,93.0,0,2,2,USA,English,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,The Children's Hour,1961,7.8,10624.0,108.0,1,11,12,USA,English,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,25
77,Nathalie...,2003,6.4,3913.0,100.0,0,2,2,France,French,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chloe,2009,6.3,57544.0,96.0,2,5,7,USA,English,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
78,Wings of Desire,1987,8.1,48079.0,128.0,18,11,29,West Germany,German,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,City of Angels,1998,6.7,96138.0,114.0,10,12,22,Germany,English,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11
79,Clash of the Titans,1981,6.9,33744.0,118.0,2,6,8,UK,English,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Clash of the Titans,2010,5.8,233082.0,106.0,4,12,16,USA,English,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,29
80,Classmates,2006,8.1,1373.0,175.0,0,0,0,India,Malayalam,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Classmates,2007,5.2,38.0,156.0,0,0,0,India,Telugu,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
81,The Window,1949,7.5,2255.0,73.0,1,3,4,USA,English,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Cloak & Dagger,1984,6.5,5381.0,101.0,0,3,3,USA,English,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,35
82,High Sierra,1941,7.6,11708.0,100.0,1,0,1,USA,English,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Colorado Territory,1949,7.2,1733.0,94.0,0,0,0,USA,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,8
83,The Computer Wore Tennis Shoes,1969,6.0,3173.0,91.0,0,0,0,USA,English,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,The Computer Wore Tennis Shoes,1995,5.1,646.0,87.0,0,0,0,USA,English,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,26
84,Mazurka,1935,7.2,84.0,91.0,0,0,0,Germany,French,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Confession,1937,8.1,842.0,87.0,0,0,0,USA,English,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
85,The Grocery Clerk,1919,5.7,41.0,27.0,0,0,0,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,The Counter Jumper,1922,5.9,13.0,20.0,0,0,0,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3
86,The Countess of Monte-Christo,1932,7.2,14.0,98.0,0,0,0,Germany,German,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,The Countess of Monte Cristo,1948,5.5,55.0,77.0,0,0,0,USA,English,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,16
87,Cousin cousine,1975,6.8,1061.0,95.0,5,9,14,France,French,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Cousins,1989,6.2,3544.0,109.0,0,0,0,USA,English,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,14
88,Big Deal on Madonna Street,1958,8.0,6685.0,106.0,4,5,9,Italy,Italian,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Crackers,1984,5.1,955.0,91.0,0,1,1,USA,English,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26
89,The Crazies,1973,6.1,8221.0,103.0,0,0,0,USA,English,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,The Crazies,2010,6.5,95037.0,101.0,0,11,11,USA,English,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,37
90,The Mayor of Hell,1933,7.0,991.0,90.0,0,0,0,USA,English,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Crime School,1938,6.9,854.0,85.0,0,0,0,USA,English,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5
91,Nine Queens,2000,7.9,39312.0,114.0,22,8,30,Argentina,Spanish,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Criminal,2004,6.4,9118.0,87.0,0,0,0,USA,English,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
92,D.O.A.,1950,7.4,8017.0,83.0,1,0,1,USA,English,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,D.O.A.,1988,6.1,8097.0,96.0,0,0,0,USA,English,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,38
93,The Dark Mirror,1946,7.1,2752.0,85.0,0,0,0,USA,English,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Dark Mirror,1984,5.9,92.0,120.0,0,0,0,USA,English,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,38
94,Dark Victory,1939,7.6,7562.0,104.0,0,4,4,USA,English,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Dark Victory,1976,6.8,155.0,150.0,0,0,0,USA,English,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,37
95,Dark Water,2002,6.7,24747.0,101.0,6,1,7,Japan,Japanese,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Dark Water,2005,5.6,45724.0,105.0,0,5,5,USA,English,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
96,Dawn of the Dead,1978,8.0,92092.0,127.0,2,2,4,Italy,English,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Dawn of the Dead,2004,7.4,198100.0,101.0,1,16,17,USA,English,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,26
97,The Dawn Patrol,1930,7.9,1193.0,108.0,0,0,0,USA,English,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,The Dawn Patrol,1938,7.6,1996.0,103.0,0,0,0,USA,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,8
98,Day of the Dead,1985,7.2,51061.0,96.0,2,0,2,USA,English,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Day of the Dead,2008,4.5,18174.0,86.0,0,1,1,USA,English,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,23
99,The Day the Earth Stood Still,1951,7.8,65015.0,92.0,3,1,4,USA,English,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,The Day the Earth Stood Still,2008,5.5,141833.0,104.0,3,5,8,USA,English,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,57
100,My Name Is Julia Ross,1945,7.1,1195.0,65.0,0,0,0,USA,English,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Dead of Winter,1987,6.3,2474.0,100.0,0,0,0,USA,English,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,42
101,Death at a Funeral,2007,7.4,91193.0,87.0,2,2,4,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Death at a Funeral,2010,5.6,36786.0,92.0,0,6,6,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3
102,Death Race 2000,1975,6.2,20180.0,80.0,0,0,0,USA,English,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Death Race,2008,6.4,169450.0,105.0,1,5,6,USA,English,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,33
103,The Debt,2007,6.9,789.0,100.0,0,6,6,Israel,German,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Obama's Kickstarter Campaign to Solve the Debt,2011,,,3.0,0,0,0,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
104,The Defiant Ones,1958,7.7,9757.0,96.0,14,21,35,USA,English,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Defiant Ones,1986,6.1,229.0,100.0,0,0,0,USA,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,28
105,Infernal Affairs,2002,8.1,94333.0,101.0,23,21,44,Hong Kong,Cantonese,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,The Departed,2006,8.5,902849.0,151.0,94,125,219,USA,English,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
106,Die schönen Tage von Aranjuez,1933,6.6,11.0,101.0,0,0,0,Germany,German,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Desire,1936,7.2,1337.0,95.0,0,0,0,USA,English,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3
107,The Desperate Hours,1955,7.6,6923.0,112.0,2,1,3,USA,English,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Desperate Hours,1990,5.4,5428.0,105.0,0,1,1,USA,English,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,35
108,Le Deuxieme Souffle,1966,8.1,3407.0,150.0,0,0,0,France,French,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Second Wind,2007,5.8,928.0,155.0,0,5,5,France,French,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,41
109,Diabolique,1955,8.1,43680.0,116.0,4,0,4,France,French,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Diabolique,1996,5.3,11251.0,107.0,2,1,3,USA,English,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,41
110,The Barker,1928,7.5,48.0,80.0,0,0,0,USA,English,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Diamond Horseshoe,1945,6.9,190.0,104.0,0,0,0,USA,English,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,17
111,The Dinner Game,1998,7.7,30321.0,80.0,5,4,9,France,French,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Dinner for Schmucks,2010,5.9,81281.0,114.0,0,1,1,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
112,Bedtime Story,1964,6.8,1114.0,99.0,0,0,0,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Dirty Rotten Scoundrels,1988,7.3,51872.0,110.0,1,1,2,USA,English,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,24
113,Rear Window,1954,8.5,327050.0,112.0,6,12,18,USA,English,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Disturbia,2007,6.9,190221.0,105.0,4,6,10,USA,English,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,53
114,Dr. Jekyll and Mr. Hyde,1931,7.7,9587.0,98.0,3,2,5,USA,English,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Dr. Jekyll and Mr. Hyde,1941,6.9,6663.0,113.0,0,0,0,USA,English,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,10
115,Dr. Mabuse: The Gambler,1922,7.9,5356.0,242.0,0,0,0,Germany,German,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Dr. M,1990,4.9,315.0,116.0,0,0,0,Germany,English,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68
116,Don,1978,7.8,6756.0,166.0,3,0,3,India,Hindi,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Billa,2009,6.1,820.0,149.0,0,0,0,India,Telugu,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,31
117,A Dog of Flanders,1959,7.2,289.0,96.0,0,0,0,USA,English,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,A Dog of Flanders,1999,6.3,789.0,100.0,1,1,2,USA,English,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,40
118,Don't Be Afraid of the Dark,1973,6.9,2613.0,74.0,0,0,0,USA,English,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Don't Be Afraid of the Dark,2010,5.6,41438.0,99.0,0,3,3,USA,English,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,37
119,The Lift,1983,6.3,4349.0,95.0,2,0,2,Netherlands,Dutch,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,The Shaft,2001,4.4,3044.0,111.0,0,0,0,USA,English,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18
120,Boudu Saved from Drowning,1932,7.5,3882.0,85.0,0,0,0,France,French,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Down and Out in Beverly Hills,1986,6.1,13023.0,103.0,1,5,6,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54
121,Here Comes Mr. Jordan,1941,7.7,4445.0,94.0,3,6,9,USA,English,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,Down to Earth,2001,5.4,19282.0,87.0,0,3,3,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,60
122,Der träumende Mund,1932,7.5,11.0,95.0,0,0,0,France,German,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dreaming Lips,1937,6.2,13.0,94.0,0,0,0,UK,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
123,The Echo,2004,6.0,472.0,102.0,6,5,11,Philippines,Filipino,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,The Echo,2008,5.7,4541.0,90.0,0,0,0,USA,English,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
124,King of the Airways,1994,6.2,462.0,95.0,4,3,7,Canada,French,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Edtv,1999,6.1,36107.0,122.0,1,1,2,USA,English,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
125,Groundhog Day,1993,8.0,452628.0,101.0,6,8,14,USA,English,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,Stork Day,2004,6.5,722.0,90.0,0,1,1,Italy,Italian,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11
126,Endless Love,1981,4.7,5551.0,116.0,2,15,17,USA,English,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Endless Love,2014,6.3,32472.0,104.0,1,0,1,USA,English,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,33
127,Masquerade in Vienna,1934,7.9,181.0,90.0,0,1,1,Austria,German,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Escapade,1935,7.2,27.0,92.0,0,0,0,USA,English,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
128,The Evil Dead,1981,7.6,146209.0,85.0,3,1,4,USA,English,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Evil Dead,2013,6.5,129320.0,91.0,6,16,22,USA,English,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,32
129,The Eye,2002,6.7,25134.0,99.0,8,6,14,Hong Kong,Cantonese,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,The Eye,2008,5.4,44827.0,98.0,2,3,5,USA,English,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6
130,Exorcist: The Beginning,2004,5.1,29076.0,114.0,0,4,4,USA,English,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Dominion: Prequel to the Exorcist,2005,5.3,8264.0,117.0,0,1,1,USA,English,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
131,A Trip to the Moon,1902,8.2,30017.0,13.0,0,0,0,France,French,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Excursion to the Moon,1908,5.5,165.0,7.0,0,0,0,France,French,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6
132,The Experiment,2001,7.8,79680.0,120.0,14,13,27,Germany,German,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Experiment,2010,6.4,42666.0,96.0,0,0,0,USA,English,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
133,Fame,1980,6.6,16647.0,134.0,6,17,23,USA,English,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Fame,2009,5.0,14256.0,107.0,0,1,1,USA,English,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,29
134,Diversion,1980,6.5,21.0,50.0,0,1,1,UK,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fatal Attraction,1987,6.9,56764.0,119.0,7,22,29,USA,English,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
135,Father of the Bride,1950,7.2,7957.0,92.0,0,4,4,USA,English,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Father of the Bride,1991,6.5,56144.0,105.0,1,4,5,USA,English,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,41
136,The ComDads,1983,7.0,3818.0,92.0,0,2,2,France,French,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Fathers' Day,1997,5.1,12421.0,98.0,0,1,1,USA,English,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,14
137,FC Venus,2005,5.6,1914.0,107.0,1,2,3,Finland,Finnish,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,FC Venus,2006,5.9,1073.0,100.0,0,1,1,Germany,German,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
138,Kiss of Death,1947,7.5,5322.0,99.0,2,2,4,USA,English,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,The Fiend Who Walked the West,1958,6.4,118.0,101.0,0,0,0,USA,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,11
139,The Firm,1989,7.3,2410.0,70.0,0,0,0,UK,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Firm,2009,5.8,4498.0,90.0,0,0,0,UK,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20
140,Yojimbo,1961,8.3,76615.0,110.0,4,2,6,Japan,Japanese,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A Fistful of Dollars,1964,8.0,153392.0,99.0,1,1,2,Italy,Italian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
141,Five Came Back,1939,7.1,1239.0,75.0,0,0,0,USA,English,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Los que volvieron,1948,6.2,14.0,,0,0,0,Mexico,Spanish,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
142,The Defiant Ones,1958,7.7,9757.0,96.0,14,21,35,USA,English,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fled,1996,5.3,7173.0,98.0,0,0,0,USA,English,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,38
143,The Flight of the Phoenix,1965,7.6,15758.0,142.0,0,6,6,USA,English,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Flight of the Phoenix,2004,6.1,46269.0,113.0,0,2,2,USA,English,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,39
144,Flipper,1963,6.0,1256.0,87.0,1,0,1,USA,English,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Flipper,1996,5.2,8179.0,95.0,0,4,4,USA,English,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,33
145,A Story of Floating Weeds,1934,7.9,2184.0,86.0,1,0,1,Japan,Japanese,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Floating Weeds,1959,7.9,4990.0,119.0,0,0,0,Japan,Japanese,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25
146,The Absent Minded Professor,1961,6.8,5576.0,92.0,1,8,9,USA,English,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,Flubber,1997,5.2,65790.0,93.0,3,1,4,USA,English,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,36
147,The Fly,1958,7.1,16037.0,94.0,0,1,1,USA,English,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,The Fly,1986,7.5,122256.0,96.0,6,11,17,USA,English,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,28
148,The Fog,1980,6.8,48095.0,89.0,1,2,3,USA,English,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,The Fog,2005,3.6,29765.0,100.0,2,0,2,USA,English,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,25
149,Footloose,1984,6.5,53175.0,107.0,1,6,7,USA,English,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Footloose,2011,5.9,38223.0,113.0,0,3,3,USA,English,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,27
150,The Golden Chance,1915,6.7,119.0,74.0,0,0,0,USA,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forbidden Fruit,1921,7.2,53.0,87.0,0,0,0,USA,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6
151,The Sons of Katie Elder,1965,7.2,10720.0,122.0,1,0,1,USA,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Four Brothers,2005,6.9,112105.0,109.0,5,9,14,USA,English,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,40
152,Freaky Friday,1976,6.3,9258.0,95.0,0,0,0,USA,English,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,Freaky Friday,2003,6.1,99696.0,97.0,5,10,15,USA,English,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,27
153,Friday the 13th,1980,6.5,85666.0,95.0,0,5,5,USA,English,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Friday the 13th,2009,5.6,76902.0,97.0,2,4,6,USA,English,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,29
154,Fright Night,1985,7.1,44447.0,106.0,5,4,9,USA,English,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fright Night,2011,6.4,86746.0,106.0,2,7,9,USA,English,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,26
155,The Front Page,1931,6.9,1403.0,101.0,2,3,5,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,The Front Page,1974,7.3,9223.0,105.0,2,4,6,USA,English,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,43
156,Fun with Dick and Jane,1977,6.5,3045.0,95.0,0,0,0,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Fun with Dick and Jane,2005,6.1,112573.0,90.0,0,7,7,USA,English,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,28
157,Funny Games,1997,7.6,45815.0,108.0,4,6,10,Austria,German,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Funny Games,2007,6.5,71207.0,111.0,1,5,6,USA,English,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10
158,Waterloo Bridge,1931,7.6,1915.0,81.0,0,0,0,USA,English,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Gaby,1956,6.0,238.0,96.0,0,0,0,USA,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25
159,Gambit,1966,7.2,3624.0,109.0,0,7,7,USA,English,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Gambit,2012,5.7,19223.0,89.0,0,0,0,USA,English,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,46
160,The Gambler,1974,7.3,2851.0,111.0,0,0,0,USA,English,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Gambler,2014,6.0,50206.0,111.0,1,2,3,USA,English,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,40
